2.2	DOC3	XXX	它	个性	1
2.2	DOC4549	XXX	NULL	车内空间	1
2.2	DOC4549	XXX	普通轿车	车内空间	-1
2.2	DOC4552	XXX	NULL	乘坐	1
2.2	DOC4552	XXX	小车	乘坐	-1
2.2	DOC4567	XXX	M6	综合配置综合性能	1
2.2	DOC4567	XXX	雅阁2.４、帕萨特1.8T	综合配置综合性能	-1
2.2	DOC4567	XXX	M6	综合配置综合性能	1
2.2	DOC4567	XXX	君威２．５	综合配置综合性能	-1
2.2	DOC4573	XXX	瑞虎	风噪	1
2.2	DOC4573	XXX	普桑	风噪	-1
2.2	DOC4573	XXX	瑞虎	路噪	1
2.2	DOC4573	XXX	普桑	路噪	-1
2.2	DOC4582	XXX	NULL	价格	-1
2.2	DOC4582	XXX	韩国H-I	价格	1
2.2	DOC4586	XXX	明锐	驾驶感觉	-1
2.2	DOC4586	XXX	高6舒适型	驾驶感觉	1
2.2	DOC4586	XXX	明锐	底盘	1
2.2	DOC4586	XXX	高6舒适型	底盘	-1
2.2	DOC4586	XXX	明锐	视野	1
2.2	DOC4586	XXX	高6	视野	-1
2.2	DOC4586	XXX	明锐	其它	0
2.2	DOC4586	XXX	高6	其它	0
2.2	DOC4599	XXX	飞度	NULL	1
2.2	DOC4599	XXX	POLO	NULL	-1
2.2	DOC4599	XXX	飞度	NULL	1
2.2	DOC4599	XXX	威驰	NULL	-1
2.2	DOC4599	XXX	POLO1.4	外表	1
2.2	DOC4599	XXX	飞度	外表	-1
2.2	DOC4599	XXX	飞度	NULL	0
2.2	DOC4599	XXX	雅酷、夏利2000	NULL	0
2.2	DOC4607	XXX	夏利	稳定性	1
2.2	DOC4607	XXX	吉利	稳定性	-1
2.2	DOC4608	XXX	思迪	整备质量	0
2.2	DOC4608	XXX	骐达	整备质量	0
2.2	DOC4618	XXX	NULL	安全性	1
2.2	DOC4618	XXX	飞度	安全性	-1
2.2	DOC4619	XXX	1.8	起步	1
2.2	DOC4619	XXX	小科	起步	-1
2.2	DOC4622	XXX	NULL	NULL	-1
2.2	DOC4622	XXX	同类车型马2嘉年华乐风等	NULL	1
2.2	DOC4624	XXX	夏历	性能	1
2.2	DOC4624	XXX	吉利车	性能	-1
2.2	DOC4642	XXX	20多万的车	内饰	-1
2.2	DOC4642	XXX	10万的车	内饰	1
2.2	DOC4663	XXX	1.6的新凯越	油耗	0
2.2	DOC4663	XXX	2.5的天籁	油耗	0
2.2	DOC4670	XXX	华晨V5	内饰	0
2.2	DOC4670	XXX	20万的合资车	内饰	0
2.2	DOC4674	XXX	新飞度	驾驶座头顶空间	-1
2.2	DOC4674	XXX	老飞度	驾驶座头顶空间	1
2.2	DOC4689	XXX	NULL	加速感	1
2.2	DOC4689	XXX	2.5的天籁	加速感	-1
2.2	DOC4737	XXX	NULL	价格	-1
2.2	DOC4737	XXX	东方之子	价格	1
2.2	DOC4749	XXX	NULL	声音	1
2.2	DOC4749	XXX	宝来、帕萨特	声音	-1
2.2	DOC4757	XXX	骐达	油耗	1
2.2	DOC4757	XXX	马3	油耗	-1
2.2	DOC4764	XXX	NULL	性价比	1
2.2	DOC4764	XXX	马6	性价比	-1
2.2	DOC4775	XXX	新思域自动舒适版	价格	-1
2.2	DOC4775	XXX	福克斯1.8自动时尚版	价格	1
2.2	DOC4775	XXX	福克斯1.8自动时尚版	配置	0
2.2	DOC4775	XXX	新思域自动舒适版	配置	0
2.2	DOC4776	XXX	后驱轿车	结构	-1
2.2	DOC4776	XXX	前驱	结构	1
2.2	DOC4776	XXX	后驱轿车	造价成本	-1
2.2	DOC4776	XXX	前驱	造价成本	1
2.2	DOC4790	XXX	DS档	地板油	0
2.2	DOC4790	XXX	D挡	地板油	0
2.2	DOC4795	XXX	NULL	换挡吸入感	1
2.2	DOC4795	XXX	面包	换挡吸入感	-1
2.2	DOC4801	XXX	NULL	过减震带	1
2.2	DOC4801	XXX	凯美瑞、花冠、马6	过减震带	-1
2.2	DOC4805	XXX	途观	内饰	-1
2.2	DOC4805	XXX	CRV	内饰	1
2.2	DOC4822	XXX	city	发动机	0
2.2	DOC4822	XXX	fit	发动机	0
2.2	DOC4830	XXX	这	NULL	1
2.2	DOC4830	XXX	中华	NULL	-1
2.2	DOC4830	XXX	这	NULL	1
2.2	DOC4830	XXX	尊驰	NULL	-1
2.2	DOC4864	XXX	NULL	装备质量	-1
2.2	DOC4864	XXX	北斗星	装备质量	1
2.2	DOC4865	XXX	宝马	价格	-1
2.2	DOC4865	XXX	AUDI	价格	1
2.2	DOC4871	XXX	帕萨特	空间	1
2.2	DOC4871	XXX	宝来	空间	-1
2.2	DOC4876	XXX	马3	提速	1
2.2	DOC4876	XXX	轩逸	提速	1
2.2	DOC4882	XXX	307	发动机	0
2.2	DOC4882	XXX	爱丽舍	发动机	0
2.2	DOC4891	XXX	君威	品牌	0
2.2	DOC4891	XXX	中华	品牌	0
2.2	DOC4923	XXX	君越	油耗	1
2.2	DOC4923	XXX	凯旋	油耗	-1
2.2	DOC4930	XXX	NULL	保养	-1
2.2	DOC4930	XXX	同等的速腾等车型	保养	1
2.2	DOC4934	XXX	宝来	刹车系统	1
2.2	DOC4934	XXX	307	刹车系统	-1
2.2	DOC4952	XXX	夏丽2000	NULL	-1
2.2	DOC4952	XXX	飞渡	NULL	1
2.2	DOC4974	XXX	普桑	NULL	1
2.2	DOC4974	XXX	你	NULL	-1
2.2	DOC4977	XXX	中华	喷漆工艺	1
2.2	DOC4977	XXX	鸭哥	喷漆工艺	-1
2.2	DOC4994	XXX	老款三缸376夏利机	马力	1
2.2	DOC4994	XXX	四缸机	马力	-1
2.2	DOC5000	XXX	旧款2.0	功率	0
2.2	DOC5000	XXX	新款2.0	功率	0
2.2	DOC5000	XXX	旧款2.0	扭矩	0
2.2	DOC5000	XXX	新款2.0	扭矩	0
2.2	DOC5006	XXX	奇瑞A5	NULL	1
2.2	DOC5011	XXX	NULL	可视范围	-1
2.2	DOC5011	XXX	轿车	可视范围	1
2.2	DOC5011	XXX	NULL	NULL	-1
2.2	DOC5011	XXX	轿车	NULL	1
2.2	DOC5014	XXX	NULL	油耗	-1
2.2	DOC5014	XXX	同级别	油耗	1
2.2	DOC5015	XXX	NULL	车身高度	1
2.2	DOC5015	XXX	NULL	轴距	1
2.2	DOC5021	XXX	NULL	排气量	1
2.2	DOC5021	XXX	K12A发动机	排气量	-1
2.2	DOC5034	XXX	轩逸2.0	功率	0
2.2	DOC5034	XXX	1.8	功率	0
2.2	DOC5034	XXX	轩逸2.0	卖价	-1
2.2	DOC5034	XXX	卡罗拉	卖价	1
2.2	DOC5036	XXX	120	速度	0
2.2	DOC5036	XXX	60	速度	0
2.2	DOC5039	XXX	335LI	配置	0
2.2	DOC5039	XXX	535	配置	0
2.2	DOC5039	XXX	335LI	空间	0
2.2	DOC5039	XXX	535	空间	0
2.2	DOC5039	XXX	335LI	NULL	0
2.2	DOC5039	XXX	535	NULL	0
2.2	DOC5042	XXX	迈腾	空调,仪表,方向盘	-1
2.2	DOC5042	XXX	高尔夫	空调,仪表,方向盘	1
2.2	DOC5043	XXX	凯美瑞	外观	1
2.2	DOC5043	XXX	雅阁	外观	-1
2.2	DOC5050	XXX	荣威550	钢板	1
2.2	DOC5050	XXX	同类竞争对手	钢板	-1
2.2	DOC5056	XXX	国产	部件	0
2.2	DOC5056	XXX	进口	部件	0
2.2	DOC5063	XXX	宝马	车价	-1
2.2	DOC5065	XXX	NULL	NULL	-1
2.2	DOC5065	XXX	一般的豪车	NULL	1
2.2	DOC5065	XXX	NULL	NULL	-1
2.2	DOC5065	XXX	Q7	NULL	1
2.2	DOC5068	XXX	该车	百公里油耗	1
2.2	DOC5068	XXX	君越2.4L	百公里油耗	-1
2.2	DOC5075	XXX	307	配置	1
2.2	DOC5075	XXX	福克斯	配置	-1
2.2	DOC5077	XXX	FK	碰撞成绩	1
2.2	DOC5077	XXX	SAIL	碰撞成绩	-1
2.2	DOC5077	XXX	SAIL	NULL	0
2.2	DOC5077	XXX	威姿,XL2000	NULL	0
2.2	DOC5078	XXX	E-Coupe	运动感	-1
2.2	DOC5078	XXX	小C	运动感	1
2.2	DOC5100	XXX	NULL	空间	1
2.2	DOC5100	XXX	PP	空间	-1
2.2	DOC5100	XXX	NULL	空间	1
2.2	DOC5100	XXX	STN	空间	-1
2.2	DOC5104	XXX	M6	油门	-1
2.2	DOC5104	XXX	YG	油门	1
2.2	DOC5104	XXX	M6	油门	1
2.2	DOC5104	XXX	别克	油门	-1
2.2	DOC5112	XXX	NULL	出风口	-1
2.2	DOC5112	XXX	C30	出风口	1
2.2	DOC5112	XXX	NULL	出风口	-1
2.2	DOC5112	XXX	C50	出风口	1
2.2	DOC5116	XXX	它	NULL	1
2.2	DOC5116	XXX	宾利	NULL	-1
2.2	DOC5116	XXX	它	操控感	1
2.2	DOC5116	XXX	宝马	操控感	-1
2.2	DOC5116	XXX	它	NULL	1
2.2	DOC5116	XXX	他们	NULL	-1
2.2	DOC5141	XXX	欧德系的车子	保养周期	1
2.2	DOC5141	XXX	日系的	保养周期	-1
2.2	DOC5149	XXX	荣威的1.8T	配置	1
2.2	DOC5149	XXX	JJ	配置	-1
2.2	DOC5155	XXX	新飞度	仪表板	0
2.2	DOC5155	XXX	型动派	仪表板	0
2.2	DOC5160	XXX	JD	动力性	1
2.2	DOC5160	XXX	FK	动力性	-1
2.2	DOC5160	XXX	JD	舒适性	-1
2.2	DOC5160	XXX	FK	舒适性	1
2.2	DOC5167	XXX	羚羊	内饰	-1
2.2	DOC5167	XXX	新N3、旗云	内饰	1
2.2	DOC5171	XXX	花冠	质量	1
2.2	DOC5171	XXX	宝来	质量	-1
2.2	DOC5171	XXX	花冠	质量	1
2.2	DOC5171	XXX	307	质量	-1
2.2	DOC5187	XXX	明锐	性价比	1
2.2	DOC5187	XXX	速腾	性价比	-1
2.2	DOC5188	XXX	奇瑞经典	性价比	1
2.2	DOC5189	XXX	赛欧	维修配件	-1
2.2	DOC5189	XXX	其他车系	维修配件	1
2.2	DOC5191	XXX	NULL	换档	1
2.2	DOC5191	XXX	其他车	换档	-1
2.2	DOC5196	XXX	雅阁	NULL	-1
2.2	DOC5196	XXX	中华	NULL	1
2.2	DOC5201	XXX	550	隔音效果	1
2.2	DOC5201	XXX	佳美	隔音效果	-1
2.2	DOC5203	XXX	4速手自动一体	NULL	-1
2.2	DOC5203	XXX	5速自动	NULL	1
2.2	DOC5204	XXX	捷达	NULL	-1
2.2	DOC5204	XXX	伊兰特	NULL	1
2.2	DOC5231	XXX	宝来车	发动机	1
2.2	DOC5243	XXX	NULL	价格	1
2.2	DOC5243	XXX	同级别合资品牌	价格	-1
2.2	DOC5252	XXX	NULL	NULL	-1
2.2	DOC5252	XXX	MDO	NULL	1
2.2	DOC5252	XXX	NULL	NULL	-1
2.2	DOC5252	XXX	东风本田CRV2.0	NULL	1
2.2	DOC5265	XXX	新款的佳美	外形	1
2.2	DOC5265	XXX	锐志	外形	-1
2.2	DOC5280	XXX	这车	性价比	1
2.2	DOC5284	XXX	伊兰特	性价比	1
2.2	DOC5285	XXX	中华	综合性能	1
2.2	DOC5286	XXX	花冠	NULL	1
2.2	DOC5286	XXX	朋友的车	NULL	-1
2.2	DOC5292	XXX	蒙迪欧	外形、性能	1
2.2	DOC5298	XXX	08款奥德赛	NULL	1
2.2	DOC5303	XXX	飞度的手动变速箱	NULL	1
2.2	DOC5303	XXX	CVT无级变速箱	NULL	1
2.2	DOC5305	XXX	高配版的	NULL	-1
2.2	DOC5305	XXX	508	NULL	1
2.2	DOC5311	XXX	M6	噪音	-1
2.2	DOC5311	XXX	其它车型	噪音	1
2.2	DOC5325	XXX	NULL	驾驶的风格	0
2.2	DOC5325	XXX	NULL	驾驶的风格	0
2.2	DOC5325	XXX	NULL	底盘	0
2.2	DOC5325	XXX	NULL	底盘	0
2.2	DOC5332	XXX	几款车	刹车	1
2.2	DOC5332	XXX	皇冠	刹车	-1
2.2	DOC5341	XXX	克莱斯勒铂锐2.0豪华款	NULL	0
2.2	DOC5341	XXX	逍客	NULL	0
2.2	DOC5341	XXX	克莱斯勒铂锐2.0豪华款	价格	1
2.2	DOC5341	XXX	逍客	价格	-1
2.2	DOC5343	XXX	爱丽舍16V	NULL	1
2.2	DOC5343	XXX	新捷达	NULL	-1
2.2	DOC5350	XXX	特瑞	NULL	-1
2.2	DOC5350	XXX	哈飞赛马	NULL	1
2.2	DOC5372	XXX	皇冠	动力	1
2.2	DOC5372	XXX	A6L	动力	-1
2.2	DOC5372	XXX	皇冠	省油	1
2.2	DOC5372	XXX	A6L	省油	-1
2.2	DOC5372	XXX	皇冠	保养	1
2.2	DOC5372	XXX	A6L	保养	-1
2.2	DOC5372	XXX	皇冠	性价比	1
2.2	DOC5372	XXX	A6L	性价比	-1
2.2	DOC5372	XXX	皇冠	安全	-1
2.2	DOC5372	XXX	A6L	安全	1
2.2	DOC5372	XXX	皇冠	稳	-1
2.2	DOC5372	XXX	A6L	稳	1
2.2	DOC5372	XXX	皇冠	品牌	-1
2.2	DOC5372	XXX	A6L	品牌	1
2.2	DOC5372	XXX	皇冠	空间	-1
2.2	DOC5372	XXX	A6L	空间	1
2.2	DOC5375	XXX	NULL	NULL	1
2.2	DOC5375	XXX	老帕	NULL	-1
2.2	DOC5379	XXX	FIT	外观	1
2.2	DOC5379	XXX	同类车	外观	-1
2.2	DOC5400	XXX	E240	价格	0
2.2	DOC5400	XXX	E280	价格	0
2.2	DOC5415	XXX	NULL	车身	-1
2.2	DOC5415	XXX	老款伊兰	车身	1
2.2	DOC5415	XXX	NULL	动力	0
2.2	DOC5415	XXX	老款伊兰	动力	0
2.2	DOC5430	XXX	S6	NULL	1
2.2	DOC5430	XXX	逍客拉CRV	NULL	-1
2.2	DOC5430	XXX	S6	NULL	1
2.2	DOC5430	XXX	智跑	NULL	-1
2.2	DOC5430	XXX	S6	NULL	1
2.2	DOC5430	XXX	RAV4	NULL	-1
2.2	DOC5445	XXX	NULL	外观	0
2.2	DOC5445	XXX	速腾	外观	0
2.2	DOC5445	XXX	NULL	方向盘	-1
2.2	DOC5445	XXX	腾腾	方向盘	1
2.2	DOC5452	XXX	NULL	NULL	0
2.2	DOC5452	XXX	3系	NULL	0
2.2	DOC5460	XXX	西耶那	起步	-1
2.2	DOC5460	XXX	普桑	起步	1
2.2	DOC5469	XXX	逍客	发动机排量	-1
2.2	DOC5469	XXX	CRV	发动机排量	1
2.2	DOC5478	XXX	雨燕车	动力	1
2.2	DOC5478	XXX	富康车	动力	1
2.2	DOC5479	XXX	别克赛欧	NULL	1
2.2	DOC5479	XXX	这款车	销量	1
2.2	DOC5481	XXX	NULL	车内	1
2.2	DOC5481	XXX	同级车	车内	-1
2.2	DOC5483	XXX	宝来	直线驾驶	1
2.2	DOC5483	XXX	BMW318i	直线驾驶	1
2.2	DOC5504	XXX	春天	NULL	1
2.2	DOC5504	XXX	爱里社	NULL	-1
2.2	DOC5534	XXX	NULL	其他配制	1
2.2	DOC5534	XXX	花冠	其他配制	-1
2.2	DOC5536	XXX	凯旋2.0	NULL	0
2.2	DOC5536	XXX	这个	NULL	0
2.2	DOC5538	XXX	嘉年华	配置	1
2.2	DOC5538	XXX	飞度	配置	-1
2.2	DOC5558	XXX	吉利	排量	0
2.2	DOC5558	XXX	夏利	排量	0
2.2	DOC5558	XXX	吉利	耗油	-1
2.2	DOC5558	XXX	夏利	耗油	1
2.2	DOC5560	XXX	飞度	印象	0
2.2	DOC5560	XXX	奥迪A6、奔驰SLK230	印象	0
2.2	DOC5568	XXX	7座	费用	-1
2.2	DOC5568	XXX	5座	费用	1
2.2	DOC5578	XXX	小科	起步	0
2.2	DOC5578	XXX	人家	起步	0
2.2	DOC5589	XXX	新宝来	载重量	1
2.2	DOC5589	XXX	其它同价位的车	载重量	-1
2.2	DOC5590	XXX	速腾	后门储物格	1
2.2	DOC5590	XXX	320	后门储物格	-1
2.2	DOC5591	XXX	海马新悦级	配置	-1
2.2	DOC5591	XXX	新锐级	配置	1
2.2	DOC5599	XXX	SLR	加速能力	-1
2.2	DOC5599	XXX	Zonda	加速能力	1
2.2	DOC5604	XXX	捷达	仪表盘	0
2.2	DOC5604	XXX	宝来，POLO	仪表盘	0
2.2	DOC5604	XXX	捷达最新改款	车休	0
2.2	DOC5604	XXX	原来的	车休	0
2.2	DOC5607	XXX	M6	NULL	0
2.2	DOC5607	XXX	佳美2.4	NULL	0
2.2	DOC5607	XXX	M6	NULL	1
2.2	DOC5607	XXX	宝来1.8T	NULL	-1
2.2	DOC5624	XXX	NULL	性价比	-1
2.2	DOC5624	XXX	同等类型车	性价比	1
2.2	DOC5625	XXX	普桑出租车	销量	1
2.2	DOC5630	XXX	标致207三厢版	发动机	0
2.2	DOC5630	XXX	206车型	发动机	0
2.2	DOC5631	XXX	307	后独立悬架	1
2.2	DOC5631	XXX	宝来	后独立悬架	-1
2.2	DOC5634	XXX	A4.1.8T	装配水平	1
2.2	DOC5634	XXX	马自达6、雅阁	装配水平	-1
2.2	DOC5644	XXX	NULL	大气	-1
2.2	DOC5644	XXX	君越LaCROSSE2.4豪华版	大气	1
2.2	DOC5652	XXX	NULL	轮胎	-1
2.2	DOC5652	XXX	奇瑞A3	轮胎	1
2.2	DOC5654	XXX	索纳塔	NULL	-1
2.2	DOC5654	XXX	新中华	NULL	1
2.2	DOC5654	XXX	远舰	NULL	-1
2.2	DOC5654	XXX	新中华	NULL	1
2.2	DOC5675	XXX	新车	样式	1
2.2	DOC5675	XXX	捷达	样式	-1
2.2	DOC5683	XXX	捷达	空调	1
2.2	DOC5683	XXX	同价位的车型	空调	-1
2.2	DOC5686	XXX	308	门	1
2.2	DOC5686	XXX	其他车	门	-1
2.2	DOC5708	XXX	夏利	车身铁皮	-1
2.2	DOC5708	XXX	TT	车身铁皮	1
2.2	DOC5715	XXX	它	性价比	1
2.2	DOC5715	XXX	k5	性价比	1
2.2	DOC5721	XXX	新宝来	设计基础	-1
2.2	DOC5721	XXX	速腾、明锐	设计基础	1
2.2	DOC5721	XXX	新宝来	设计基础	-1
2.2	DOC5721	XXX	开迪	设计基础	1
2.2	DOC5722	XXX	宝来、高尔夫	车身制造工艺	1
2.2	DOC5722	XXX	赛纳	车身制造工艺	-1
2.2	DOC5735	XXX	欧美车	12挡	-1
2.2	DOC5735	XXX	日韩车	12挡	1
2.2	DOC5743	XXX	雨燕	发动机	1
2.2	DOC5743	XXX	羚羊	发动机	-1
2.2	DOC5773	XXX	MAZDA	品牌	-1
2.2	DOC5773	XXX	PST	品牌	1
2.2	DOC5777	XXX	福克斯	动力性	1
2.2	DOC5777	XXX	307	动力性	-1
2.2	DOC5786	XXX	307	车内宽度	0
2.2	DOC5786	XXX	福克斯	车内宽度	0
2.2	DOC5789	XXX	新旗云	车内前排空间	-1
2.2	DOC5789	XXX	ufo	车内前排空间	1
2.2	DOC5793	XXX	嘉年华	燃油经济性	1
2.2	DOC5811	XXX	C230	内饰	-1
2.2	DOC5811	XXX	宝马	内饰	1
2.2	DOC5820	XXX	福美来	价格	-1
2.2	DOC5820	XXX	该级别	价格	1
2.2	DOC5830	XXX	凯越1.6手动	车款	1
2.2	DOC5830	XXX	飞度	车款	-1
2.2	DOC5830	XXX	凯越1.6手动	NULL	1
2.2	DOC5830	XXX	飞度	NULL	-1
2.2	DOC5852	XXX	奥迪	销售	-1
2.2	DOC5854	XXX	523li	音响	-1
2.2	DOC5854	XXX	10几万的车	音响	1
2.2	DOC5861	XXX	爱丽舍	性能配置	1
2.2	DOC5861	XXX	捷达	性能配置	-1
2.2	DOC5864	XXX	森林人	档次	0
2.2	DOC5864	XXX	CR-V	档次	0
2.2	DOC5864	XXX	森林人	风格	0
2.2	DOC5864	XXX	CR-V	风格	0
2.2	DOC5868	XXX	爱丽舍	钢板	-1
2.2	DOC5868	XXX	日本车	钢板	1
2.2	DOC5876	XXX	奥迪A61.8T手排	NULL	1
2.2	DOC5885	XXX	乐风自动挡	价格	0
2.2	DOC5885	XXX	瑞纳手动挡	价格	0
2.2	DOC5895	XXX	这车	静态展示	0
2.2	DOC5895	XXX	20万以上的车	静态展示	0
2.2	DOC5911	XXX	NULL	底盘	1
2.2	DOC5911	XXX	菠萝	底盘	-1
2.2	DOC5915	XXX	NULL	外观、品牌、内设、油号	1
2.2	DOC5933	XXX	FIT	波箱	1
2.2	DOC5933	XXX	YK	波箱	-1
2.2	DOC5933	XXX	FIT	离合	1
2.2	DOC5933	XXX	YK	离合	-1
2.2	DOC5933	XXX	FIT	内饰做工配置	1
2.2	DOC5933	XXX	YK	内饰做工配置	-1
2.2	DOC5943	XXX	小福	噪音	1
2.2	DOC5943	XXX	骐达	噪音	-1
2.2	DOC5948	XXX	M6	性能	1
2.2	DOC5948	XXX	307	性能	-1
2.2	DOC5952	XXX	NULL	木纹装饰的材质	-1
2.2	DOC5952	XXX	日系车	木纹装饰的材质	1
2.2	DOC5952	XXX	NULL	装配工艺	-1
2.2	DOC5952	XXX	日系车	装配工艺	1
2.2	DOC5953	XXX	NULL	NULL	-1
2.2	DOC5953	XXX	奇瑞A3	NULL	1
2.2	DOC5953	XXX	NULL	NULL	-1
2.2	DOC5953	XXX	奇瑞A3	NULL	1
2.2	DOC5954	XXX	雅阁	档次	-1
2.2	DOC5954	XXX	蒙迪欧、帕萨特、君威	档次	1
2.2	DOC5954	XXX	雅阁	售价	1
2.2	DOC5954	XXX	蒙迪欧、帕萨特、君威	售价	-1
2.2	DOC5968	XXX	瑞风	油耗	1
2.2	DOC5968	XXX	NULL	油耗	-1
2.2	DOC5980	XXX	奥迪	方向盘	-1
2.2	DOC5980	XXX	开3系	方向盘	1
2.2	DOC5987	XXX	宝马三系	操控性	1
2.2	DOC5987	XXX	奥迪a4	操控性	-1
2.2	DOC5989	XXX	国产2.0版的柴油的圣达非	NULL	-1
2.2	DOC5989	XXX	其他进口2.0的suv车	NULL	1
2.2	DOC5996	XXX	6速手自一体	变速箱	0
2.2	DOC5996	XXX	新宝来	变速箱	0
2.2	DOC5996	XXX	6速手自一体	变速箱	0
2.2	DOC5996	XXX	B6	变速箱	0
2.2	DOC5999	XXX	凯迪拉克	内部工艺	-1
2.2	DOC5999	XXX	对手	内部工艺	1
2.2	DOC6020	XXX	NULL	价格	1
2.2	DOC6020	XXX	捷达王	价格	-1
2.2	DOC6023	XXX	国内生产的花冠	质量	-1
2.2	DOC6023	XXX	欧美销售的花冠	质量	1
2.2	DOC6032	XXX	NULL	档位	-1
2.2	DOC6032	XXX	大众车	档位	1
2.2	DOC6035	XXX	花冠	最大输出功率	-1
2.2	DOC6035	XXX	宝来	最大输出功率	1
2.2	DOC6035	XXX	花冠	最大输出功率	-1
2.2	DOC6035	XXX	福克斯	最大输出功率	1
2.2	DOC6038	XXX	这个车	维修保养费用	1
2.2	DOC6038	XXX	同级车	维修保养费用	-1
2.2	DOC6046	XXX	远舰	装备水平	0
2.2	DOC6046	XXX	索纳塔	装备水平	0
2.2	DOC6049	XXX	NULL	NULL	-1
2.2	DOC6049	XXX	菲亚特系列	NULL	1
2.2	DOC6051	XXX	04款	质量	1
2.2	DOC6051	XXX	03	质量	-1
2.2	DOC6058	XXX	FEI度	NULL	-1
2.2	DOC6058	XXX	威驰	NULL	1
2.2	DOC6058	XXX	FEI度	售价	0
2.2	DOC6058	XXX	威驰	售价	0
2.2	DOC6065	XXX	A4	品牌	1
2.2	DOC6065	XXX	V6	品牌	-1
2.2	DOC6065	XXX	A4	内部空间	-1
2.2	DOC6065	XXX	V6	内部空间	1
2.2	DOC6075	XXX	吉利	板金	1
2.2	DOC6075	XXX	夏利	板金	-1
2.2	DOC6076	XXX	2.0	价格	0
2.2	DOC6076	XXX	2.3技术型	价格	0
2.2	DOC6079	XXX	YLTFITACCORDKYVIOS	NULL	1
2.2	DOC6079	XXX	捷达	NULL	1
2.2	DOC6102	XXX	别克商务车	质量	1
2.2	DOC6102	XXX	这	质量	-1
2.2	DOC6111	XXX	这一款车	表面	1
2.2	DOC6111	XXX	新宝马3系	表面	1
2.2	DOC6155	XXX	逍客	空间	0
2.2	DOC6155	XXX	马3(两厢2.0)	空间	0
2.2	DOC6160	XXX	君威2.5	内饰	1
2.2	DOC6160	XXX	PST	内饰	-1
2.2	DOC6160	XXX	君威2.5	价格	1
2.2	DOC6160	XXX	PST	价格	-1
2.2	DOC6173	XXX	派力奥、QQ、吉利、奇瑞、华普、英格尔、伊兰特	NULL	-1
2.2	DOC6173	XXX	捷达	NULL	1
2.2	DOC6174	XXX	它	NULL	1
2.2	DOC6174	XXX	其他品牌的国产车	NULL	-1
2.2	DOC6195	XXX	NULL	NULL	-1
2.2	DOC6195	XXX	皇冠	NULL	1
2.2	DOC6199	XXX	此款红旗系列	外观	0
2.2	DOC6199	XXX	进口奥迪系列	外观	0
2.2	DOC6199	XXX	此款红旗系列	价格	0
2.2	DOC6199	XXX	进口奥迪系列	价格	0
2.2	DOC6226	XXX	YK	NULL	1
2.2	DOC6226	XXX	FIT	NULL	-1
2.2	DOC6231	XXX	他	NULL	1
2.2	DOC6231	XXX	日本车	NULL	-1
2.2	DOC6234	XXX	这车	NULL	1
2.2	DOC6234	XXX	云雀	NULL	-1
2.2	DOC6234	XXX	这车	长、宽、高	1
2.2	DOC6234	XXX	奥拓	长、宽、高	-1
2.2	DOC6235	XXX	NULL	内饰	1
2.2	DOC6235	XXX	豪华车	内饰	1
2.2	DOC6239	XXX	新车型	价格	-1
2.2	DOC6239	XXX	CRV	价格	1
2.2	DOC6239	XXX	新车型	内饰	-1
2.2	DOC6239	XXX	CRV	内饰	1
2.2	DOC6251	XXX	开迪	性价比	1
2.2	DOC6251	XXX	途安	性价比	-1
2.2	DOC6253	XXX	速腾	车款	-1
2.2	DOC6253	XXX	夏利	车款	-1
2.2	DOC6271	XXX	夏利	修理	1
2.2	DOC6271	XXX	吉利	修理	-1
2.2	DOC6277	XXX	八代索纳塔2.0豪华版	NULL	1
2.2	DOC6277	XXX	星驰2.0AT	NULL	-1
2.2	DOC6282	XXX	捷达	座位	-1
2.2	DOC6282	XXX	爱丽舍	座位	1
2.2	DOC6288	XXX	新菠萝	发动机	1
2.2	DOC6288	XXX	老的	发动机	-1
2.2	DOC6302	XXX	奥迪	配置	-1
2.2	DOC6302	XXX	皇冠	配置	1
2.2	DOC6302	XXX	奥迪	升功率	-1
2.2	DOC6302	XXX	皇冠	升功率	1
2.2	DOC6302	XXX	奥迪	肃静性	-1
2.2	DOC6302	XXX	皇冠	肃静性	1
2.2	DOC6306	XXX	NULL	外观	-1
2.2	DOC6306	XXX	老型的时代超人	外观	1
2.2	DOC6318	XXX	这两款发动机	NULL	0
2.2	DOC6318	XXX	老款	NULL	0
2.2	DOC6324	XXX	NULL	内饰	1
2.2	DOC6324	XXX	老款	内饰	-1
2.2	DOC6324	XXX	NULL	内饰	-1
2.2	DOC6324	XXX	CC	内饰	1
2.2	DOC6324	XXX	NULL	内饰	0
2.2	DOC6324	XXX	新帕	内饰	0
2.2	DOC6338	XXX	伊兰特	销量	1
2.2	DOC6338	XXX	伊兰特	空间	1
2.2	DOC6338	XXX	达达	空间	-1
2.2	DOC6338	XXX	伊兰特	音响，空调，内饰	1
2.2	DOC6338	XXX	达达	音响，空调，内饰	-1
2.2	DOC6349	XXX	天籁2.0	NULL	1
2.2	DOC6349	XXX	我19.98w的车	NULL	-1
2.2	DOC6349	XXX	天籁2.0	NULL	1
2.2	DOC6349	XXX	雅阁	NULL	-1
2.2	DOC6369	XXX	骏捷	内饰	1
2.2	DOC6369	XXX	中华	内饰	-1
2.2	DOC6369	XXX	骏捷	内饰	1
2.2	DOC6369	XXX	尊驰	内饰	-1
2.2	DOC6372	XXX	JD-Ci,富康三厢	技术	0
